Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,2021-11-15,-0.074347684,-0.058218661,-0.058954256,21,100
Market-Adjusted Model,10028,2021-11-15,-0.068649824,-0.048995192,-0.053256396,21,100
Market-Adjusted Model,10032,2021-11-15,-0.036417778,-0.019478032,-0.021024349,21,100
Market-Adjusted Model,10044,2021-11-15,-0.024110224,-0.003479407,-0.008716796,21,100
Market-Adjusted Model,10051,2021-11-15,-0.096895046,-0.076862126,-0.081501617,21,100
Market-Adjusted Model,10065,2021-11-15,0.0195890427,0.0349649594,0.0349824712,21,100
Market-Adjusted Model,10066,2021-11-15,-0.253816751,-0.249952407,-0.238423323,21,100
Market-Adjusted Model,10104,2021-11-15,-0.054200588,-0.039744478,-0.03880716,21,100
Market-Adjusted Model,10107,2021-11-15,-0.001283378,0.0146946501,0.0141100508,21,100
Market-Adjusted Model,10113,2021-11-15,-0.05669066,-0.042466451,-0.041297231,21,100
Market-Adjusted Model,10138,2021-11-15,-0.078061635,-0.064274505,-0.062668207,21,100
Market-Adjusted Model,10145,2021-11-15,-0.070902591,-0.057474421,-0.055509162,21,100
Market-Adjusted Model,10158,2021-11-15,0.0998417754,0.1196587379,0.1152352039,21,100
Market-Adjusted Model,10200,2021-11-15,-0.013769364,0.0099458928,0.0016240648,21,100
Market-Adjusted Model,10207,2021-11-15,-0.019406402,-0.003602477,-0.004012974,21,100
Market-Adjusted Model,10220,2021-11-15,-0.155893243,-0.149137753,-0.140499815,21,100
Market-Adjusted Model,10232,2021-11-15,0.0035149351,0.0183181589,0.0189083637,21,100
Market-Adjusted Model,10252,2021-11-15,-0.064378729,-0.047333954,-0.048985301,21,100
Market-Adjusted Model,10253,2021-11-15,-0.367073161,-0.428210597,-0.351679732,21,100
Market-Adjusted Model,10257,2021-11-15,-0.132720135,-0.117988599,-0.117326706,21,100
Market-Adjusted Model,10258,2021-11-15,-0.10437241,-0.086688934,-0.088978982,21,100
Market-Adjusted Model,10294,2021-11-15,0.1473141978,0.1648083832,0.1627076263,21,100
Market-Adjusted Model,10308,2021-11-15,-0.041611316,-0.024539636,-0.026217888,21,100
Market-Adjusted Model,10318,2021-11-15,0.0320726646,0.0489928925,0.0474660932,21,100
Market-Adjusted Model,10333,2021-11-15,-0.179599987,-0.171119761,-0.164206559,21,100
Market-Adjusted Model,10355,2021-11-15,0.0614766201,0.0808143141,0.0768700486,21,100
